customer id,customer name,total_orders,total_customer_sales,total_customer_profit,CUSTOMER_SEGMENT
PO-18850,Patrick O'Brill,41,25274.4702,3249.2776999999992,LOYAL CUSTOMER
KH-16690,Kristen Hastings,39,18158.460099999993,2367.4901999999997,LOYAL CUSTOMER
MP-17965,Michael Paige,39,17228.497699999996,1455.2120000000007,LOYAL CUSTOMER
AR-10825,Anthony Rawles,38,15311.035600000001,2828.1048000000005,LOYAL CUSTOMER
CK-12205,Chloris Kastensmidt,38,13625.207839999995,1311.20594,LOYAL CUSTOMER
WB-21850,William Brown,38,16704.6612,2694.5002999999997,LOYAL CUSTOMER
JH-15985,Joseph Holt,38,18863.404399999996,-182.93179999999938,LOYAL CUSTOMER
EM-13960,Eric Murdock,37,25228.52947999999,2593.9414799999995,LOYAL CUSTOMER
DW-13585,Dorothy Wardle,37,12143.043599999999,821.81300000000033,LOYAL CUSTOMER
NS-18640,Noel Staavos,37,14866.087,1116.0525999999998,LOYAL CUSTOMER
ZC-21910,Zuschuss Carroll,37,28472.819259999993,452.50326,LOYAL CUSTOMER
JG-15805,John Grady,37,22015.3862,3393.2201000000014,LOYAL CUSTOMER
SC-20380,Shahid Collister,37,16122.724239999996,1282.2497399999997,LOYAL CUSTOMER
TP-21130,Theone Pippenger,37,22697.577280000005,1964.4073799999996,LOYAL CUSTOMER
FO-14305,Frank Olsen,37,15614.215499999997,2567.1144,LOYAL CUSTOMER
BE-11335,Bill Eplett,37,27158.018400000019,7790.6963000000014,LOYAL CUSTOMER
SZ-20035,Sam Zeldin,37,15192.376,2785.2273,LOYAL CUSTOMER
HM-14860,Harry Marie,37,27434.1676,6544.8863999999994,LOYAL CUSTOMER
AA-10645,Anna Andreadi,36,15343.890699999998,3051.4389999999989,LOYAL CUSTOMER
BM-11785,Bryan Mills,36,18446.8529,2036.6847999999998,LOYAL CUSTOMER
PF-19165,Philip Fox,36,16018.842700000001,1486.3466000000003,LOYAL CUSTOMER
DK-13090,Dave Kipp,36,19178.6392,4004.4356999999995,LOYAL CUSTOMER
MP-18175,Mike Pelletier,36,22045.2528,455.2957,LOYAL CUSTOMER
MS-17770,Maxwell Schwartz,36,17382.935040000008,2685.6754400000009,LOYAL CUSTOMER
KD-16495,Keith Dawkins,36,24996.503100000005,5152.9625000000042,LOYAL CUSTOMER
AF-10870,Art Ferguson,36,26487.258499999989,1736.0717,LOYAL CUSTOMER
JE-15715,Joe Elijah,36,22275.268900000003,3648.0085,LOYAL CUSTOMER
RB-19465,Rick Bensley,36,17178.439399999988,2769.65,LOYAL CUSTOMER
GH-14410,Gary Hansen,36,13659.595980000006,47.4654799999999,LOYAL CUSTOMER
SE-20110,Sanjit Engle,36,29532.62502,5863.62392,LOYAL CUSTOMER
GZ-14470,Gary Zandusky,35,20869.698999999997,2885.9928999999997,LOYAL CUSTOMER
JE-15745,Joel Eaton,35,19629.128959999995,1123.48066,LOYAL CUSTOMER
DK-12985,Darren Koutras,35,14823.968499999999,1366.8046999999997,LOYAL CUSTOMER
AF-10885,Art Foster,35,19711.167279999991,2882.91478,LOYAL CUSTOMER
PO-18865,Patrick O'Donnell,35,21051.0598,4698.6391,LOYAL CUSTOMER
KA-16525,Kelly Andreada,35,17449.900119999991,1299.9135200000005,LOYAL CUSTOMER
BW-11110,Bart Watters,35,30613.616500000007,3337.4658999999983,LOYAL CUSTOMER
RB-19795,Ross Baird,35,19056.881339999985,2323.6621400000004,LOYAL CUSTOMER
PG-18820,Patrick Gardner,35,14635.944599999999,1626.9189,LOYAL CUSTOMER
SC-20695,Steve Chapman,35,21931.043500000003,2516.164600000001,LOYAL CUSTOMER
JW-15220,Jane Waco,34,23103.726299999995,4115.1516999999994,LOYAL CUSTOMER
JM-15655,Jim Mitchum,34,16294.72706,1190.0740599999997,LOYAL CUSTOMER
JB-15400,Jennifer Braxton,34,13085.503900000003,1992.2621,LOYAL CUSTOMER
RP-19390,Resi Pölking,34,16114.907499999996,-452.0762,LOYAL CUSTOMER
LA-16780,Laura Armstrong,34,24273.001900000007,3754.0198000000014,LOYAL CUSTOMER
MC-17635,Matthew Clasen,34,21113.510699999995,3529.4932000000003,LOYAL CUSTOMER
JP-16135,Julie Prescott,34,10163.5086,2036.0102000000002,LOYAL CUSTOMER
AH-10210,Alan Hwang,34,20365.740179999997,4139.6607799999992,LOYAL CUSTOMER
MS-17365,Maribeth Schnelling,34,20317.0067,3300.3221999999996,LOYAL CUSTOMER
TB-21520,Tracy Blumstein,34,16716.761719999995,-198.08937999999972,LOYAL CUSTOMER
DL-13330,Denise Leinenbach,34,16781.630999999998,2652.7522,LOYAL CUSTOMER
MC-17275,Marc Crier,34,11680.0495,1463.0788999999997,LOYAL CUSTOMER
AH-10075,Adam Hart,34,18109.86142,986.04342,LOYAL CUSTOMER
JK-15730,Joe Kamberova,34,20825.892,2283.7602999999995,LOYAL CUSTOMER
SC-20020,Sam Craven,34,10579.469999999998,1231.5156,LOYAL CUSTOMER
KW-16570,Kelly Williams,34,9256.0552999999982,2191.5663000000004,LOYAL CUSTOMER
HG-14965,Henry Goldwyn,34,16810.686600000005,-1607.2489000000005,LOYAL CUSTOMER
DL-12865,Dan Lawera,34,11185.7181,280.33099999999996,LOYAL CUSTOMER
JK-16090,Juliana Krohn,33,21918.73683999999,3195.37134,LOYAL CUSTOMER
SR-20740,Steven Roelle,33,17220.18,4096.0884000000015,LOYAL CUSTOMER
SC-20575,Sonia Cooley,33,9685.4243,896.36160000000007,LOYAL CUSTOMER
DR-12940,Daniel Raglin,33,25641.46492,5505.9229199999991,LOYAL CUSTOMER
AM-10360,Alice McCarthy,33,16730.329600000005,2748.4754000000003,LOYAL CUSTOMER
